"Mass.Feature","FinalBMIS","Orig_RSD","FinalRSD","runDate","type","SampID","replicate","Area.with.QC","MIS","Adjusted.Area","Run.Cmpd"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Poo","MesoScopeQC","3",2076767,"Trehalose, 13C",3097585,"180821_Poo_MesoScopeQC_3 DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Poo","MesoScopeQC","4",2768326,"Trehalose, 13C",4090634,"180821_Poo_MesoScopeQC_4 DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Poo","MesoScopeQC","5",6157586,"Trehalose, 13C",5810834,"180821_Poo_MesoScopeQC_5 DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Poo","MesoScopeQC","6",6918268,"Trehalose, 13C",5733973,"180821_Poo_MesoScopeQC_6 DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Smp","MS10C215m","A",1880525,"Trehalose, 13C",3879387,"180821_Smp_MS10C215m_A DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Smp","MS10C215m","B",19805250,"Trehalose, 13C",10894161,"180821_Smp_MS10C215m_B DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Smp","MS10C215m","C",5168590,"Trehalose, 13C",7190022,"180821_Smp_MS10C215m_C DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Smp","MS10C2175m","A",2973292,"Trehalose, 13C",1845686,"180821_Smp_MS10C2175m_A DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Smp","MS10C2175m","B",2496430,"Trehalose, 13C",1885600,"180821_Smp_MS10C2175m_B DHPS"
"DHPS","Trehalose, 13C",0.6620834,0.3241508,"180821","Smp","MS10C2175m","C",568347,"Trehalose, 13C",852775.2,"180821_Smp_MS10C2175m_C DHPS"
