"Metabolite.Name","nmol.Enviro.med","nmol.Enviro.min","nmol.Enviro.max","nmol.C.med","nmol.C.min","nmol.C.max","mol.C.Fraction.med","mol.C.Fraction.min","mol.C.Fraction.max"
"Cytosine",0.0400054561676066,0.00641813697320107,0.08443772684345,0.160021824670426,0.0256725478928043,0.3377509073738,0.0000813172476576299,0.000013140124715362,0.000181478077983481
"Cytidine",0.00871031493392415,0.000921056066460061,0.019904455627374,0.0783928344053174,0.00828950459814055,0.179140100646366,0.00003417710517535,0.00000632987052426523,0.0000784785545982906
"Cystine",0.0091235258754642,0.000299301422045632,0.0595288756061707,0.0547411552527852,0.00179580853227379,0.357173253637024,0.0000285401963468649,0.000000239405773019444,0.000307184261496339
"Cysteic Acid",0.00155911505553641,0.000904057912730178,0.00899294932118343,0.00467734516660923,0.00271217373819054,0.0269788479635503,0.00000215397324504691,0.000000410920692528979,0.0000117957286869013
"Cystathionine",0.00108853974708895,0.000206036651664802,0.0113600220211617,0.00761977822962266,0.00144225656165361,0.0795201541481317,0.00000318701751436181,0.000000253868743922993,0.0000330225333510653
"Cys-Gly oxidized",0.00122212362197819,0.000226554763132512,0.00697940110797825,0.0122212362197819,0.00226554763132512,0.0697940110797825,0.00000626875892419089,0.000000899665084694165,0.0000765586799652268
"Creatine",0.0233304519729035,0.00523323746245174,1.48741158444041,0.0933218078916139,0.020932949849807,5.94964633776164,0.0000565057812331153,0.00000698775421500557,0.00304524097946653
"Citrulline",0.00955752358096547,0.00083465306988441,0.0373294997830813,0.0573451414857928,0.00500791841930646,0.223976998698488,0.0000231025627605696,0.00000540013551090822,0.000113339772866092
"Citric Acid",0.0078005350270678,0.000668350976043729,0.182496259888009,0.0468032101624068,0.00401010585626237,1.09497755932806,0.0000222797560159787,0.000000534601810357099,0.000511578399798999
"Choline",0.0914561444570396,0.0153320085663435,0.773344115549989,0.457280722285198,0.0766600428317176,3.86672057774995,0.000230560766080212,0.0000469827530523296,0.00139291702836218
"Chitobiose",0.00019294686181165,0.000118487279833857,0.00369319147632469,0.00308714978898641,0.00189579647734172,0.059091063621195,0.00000167276089493745,0.00000025479686246432,0.0000283033699122382
"cGMP",0.000436640046380924,0.0000869456560325831,0.00127338924106768,0.00436640046380924,0.000869456560325831,0.0127338924106768,0.00000120885883429002,0.000000361061400952237,0.00000294335296823929
"Carnitine",0.0201691182505569,0.00364616350130682,0.0498567112612685,0.141183827753899,0.0255231445091477,0.34899697882888,0.0000652050941998309,0.0000129786296527753,0.000157102367306123
"Butyryl-L-carnitine",0.0000633012740888732,0.00000609913978968889,0.000166803713501228,0.000696314014977605,0.0000670905376865778,0.00183484084851351,0.000000292826387510925,0.0000000725770716139992,0.00000143979620631361
"Betaine",1.79250805228485,0.634574906053627,4.64098978028388,8.96254026142426,3.17287453026814,23.2049489014194,0.00494060487080072,0.000924114549336007,0.0094418458783303
