"Mass.Feature","FinalBMIS","Orig_RSD","FinalRSD","runDate","type","SampID","replicate","Area.with.QC","MIS","Adjusted.Area","Run.Cmpd"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS7C115m","C",1630,"Inj_vol",1588.20512820513,"180905_Smp_MS7C115m_C trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS7C1175m","A",NA,"Inj_vol",NA,"180905_Smp_MS7C1175m_A trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS7C1175m","B",2701,"Inj_vol",2631.74358974359,"180905_Smp_MS7C1175m_B trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS7C1175m","C",NA,"Inj_vol",NA,"180905_Smp_MS7C1175m_C trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS7C1DCM","A",1895,"Inj_vol",1846.41025641026,"180905_Smp_MS7C1DCM_A trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS7C1DCM","B",NA,"Inj_vol",NA,"180905_Smp_MS7C1DCM_B trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS7C1DCM","C",3911,"Inj_vol",3810.71794871795,"180905_Smp_MS7C1DCM_C trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS8C115m","A",NA,"Inj_vol",NA,"180905_Smp_MS8C115m_A trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS8C115m","B",3278,"Inj_vol",3193.94871794872,"180905_Smp_MS8C115m_B trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS8C115m","C",3289,"Inj_vol",3204.66666666667,"180905_Smp_MS8C115m_C trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS8C1175m","A",NA,"Inj_vol",NA,"180905_Smp_MS8C1175m_A trans Retinal"
"trans Retinal","Inj_vol",0.996949134341981,0.996949134341981,"180905","Smp","MS8C1175m","B",2153,"Inj_vol",2097.79487179487,"180905_Smp_MS8C1175m_B trans Retinal"
